Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,1,1,2,1,0,67,9.0,1
2,0,1,2,2,0,21,9.0,2
2,1,1,2,1,0,27,9.0,4
3,0,1,3,1,0,250,9.0,4
2,1,1,2,1,0,41,4.0,4
3,1,1,2,1,0,325,4.0,4
2,1,1,2,1,0,210,4.0,4
3,0,2,3,1,0,310,9.0,4
2,1,1,2,1,0,56,7.0,4
3,2,0,2,15,0,210,6.0,15
3,1,1,3,3,1,100,7.0,3
2,1,1,2,1,1,34,4.0,4
2,0,0,2,1,0,24,6.0,4
3,1,1,3,1,0,310,9.0,1
3,2,1,2,9,0,172,9.0,9
3,2,1,2,2,0,158,5.0,2
2,2,0,2,3,0,127,5.0,3
2,1,1,2,24,0,245,6.0,24
3,2,2,4,0,0,400,9.0,0
3,1,2,3,40,0,350,6.0,40
3,3,2,3,2,0,600,3.0,2
2,0,1,2,1,0,23,9.0,1
2,1,1,2,1,0,46,2.0,1
3,1,0,2,1,0,33,9.0,1
3,2,2,4,3,0,440,6.0,3
3,0,1,2,2,0,48,9.0,2
2,0,2,2,1,0,25,9.0,1
3,2,1,2,1,0,110,7.0,1
3,2,1,3,0,0,290,9.0,0
3,1,0,2,2,0,165,4.0,2
2,2,1,2,3,0,159,5.0,3
3,4,1,3,3,0,735,10.0,3
3,1,1,2,1,0,64,4.0,1
2,1,1,2,1,0,23,9.0,1
3,3,1,3,16,0,265,9.0,16
3,2,2,2,1,0,40,5.0,1
3,1,0,2,1,0,67,10.0,1
3,2,1,2,1,0,95,7.0,1
3,3,1,2,1,0,235,6.0,4
3,1,1,2,1,0,46,6.0,1
3,0,0,2,5,0,295,5.0,5
3,1,1,2,3,0,46,8.0,3
3,2,1,3,1,0,70,8.0,1
2,0,1,2,4,0,94,6.0,4
3,2,1,4,1,0,825,10.0,1
3,0,2,2,0,0,220,6.0,0
2,1,2,2,13,0,275,5.0,13
3,0,1,3,2,0,200,6.0,2
3,2,0,2,5,0,182,9.0,5
2,0,1,2,1,0,26,9.0,1
3,2,0,2,1,0,220,7.0,1
3,2,0,2,1,0,60,9.0,1
2,1,1,2,1,0,32,10.0,1
3,1,1,2,1,0,40,8.0,1
3,0,1,2,1,0,85,5.0,1
3,0,2,2,2,0,70,7.0,2
3,5,1,4,3,0,505,8.0,3
3,3,1,3,8,0,160,5.0,8
2,1,1,2,0,0,140,6.0,0
3,2,1,3,2,0,155,3.0,2
3,3,1,3,4,0,275,4.0,4
3,2,2,3,10,0,160,4.0,10
3,3,1,3,0,0,575,8.0,0
3,2,1,2,7,0,114,6.0,7
3,2,2,2,4,0,191,9.0,4
3,1,1,2,4,0,55,5.0,4
3,1,0,3,1,0,235,6.0,1
3,2,1,2,4,0,165,6.0,4
3,3,1,2,8,0,260,6.0,8
2,1,1,2,0,0,90,9.0,0
3,0,1,3,3,0,70,10.0,3
3,1,2,4,4,0,585,6.0,4
3,1,1,3,1,0,220,3.0,1
3,1,2,2,1,0,160,6.0,1
3,3,1,3,1,0,400,8.0,1
2,2,1,2,0,0,130,3.0,0
3,3,1,3,3,0,390,9.0,3
2,2,1,2,2,0,89,8.0,2
2,1,1,2,1,0,44,9.0,1
3,2,1,2,1,0,169,4.0,1
3,1,1,2,4,0,265,1.0,4
2,0,1,2,2,0,91,8.0,2
3,0,2,2,2,0,140,4.0,2
3,3,1,2,0,0,235,5.0,0
2,1,1,2,22,0,315,6.0,22
3,0,2,2,0,0,70,8.0,0
2,2,1,2,2,0,68,10.0,2
3,1,1,2,0,0,130,6.0,0
3,3,1,3,0,0,600,9.0,0
3,0,1,3,1,0,400,8.0,1
3,4,2,4,1,0,440,9.0,1
3,2,1,4,4,0,375,6.0,4
3,3,1,3,3,0,399,9.0,3
3,3,1,3,0,0,610,9.0,0
3,0,2,3,4,0,66,7.0,4
3,0,0,2,4,0,150,7.0,4
3,3,1,3,2,0,225,4.0,2
3,2,1,2,9,0,148,2.0,9
3,1,2,2,7,0,160,6.0,7
3,1,1,3,2,0,68,5.0,2
3,2,1,3,1,0,265,5.0,1
2,0,1,2,1,0,27,9.0,4
3,0,2,3,8,0,450,4.0,8
2,1,2,2,3,0,140,5.0,3
3,0,2,3,1,0,390,7.0,1
3,4,1,4,1,0,210,7.0,1
3,1,1,3,12,0,350,6.0,12
2,1,2,2,0,0,155,8.0,0
3,0,1,3,2,0,195,6.0,2
3,2,1,3,1,0,600,10.0,1
3,2,0,2,0,0,107,5.0,0
2,0,2,2,1,0,85,4.0,1
3,0,1,2,2,0,75,4.0,2
3,0,1,3,6,0,210,6.0,6
3,0,1,3,2,0,260,7.0,2
2,0,0,2,1,0,105,6.0,1
3,2,1,3,3,0,250,4.0,3
3,3,2,3,0,0,500,8.0,0
2,1,1,2,1,0,160,6.0,1
2,1,2,2,3,0,140,5.0,3
3,2,2,3,1,0,200,6.0,1
2,0,0,2,2,0,28,8.0,2
3,1,1,2,1,0,60,10.0,1
3,2,1,2,1,0,70,10.0,1
3,1,1,2,1,0,29,6.0,4
3,1,1,2,1,0,42,8.0,1
2,0,2,2,0,0,150,6.0,0
3,0,1,3,1,0,375,8.0,1
3,2,0,3,2,0,225,4.0,2
3,0,1,3,9,0,158,6.0,9
3,2,2,3,1,0,425,9.0,1
3,0,1,2,1,0,87,10.0,1
3,1,1,2,1,0,160,6.0,1
3,0,1,3,6,0,167,3.0,6
3,2,1,3,1,0,146,7.0,1
3,2,2,3,1,0,310,9.0,1
3,2,1,3,1,0,102,10.0,1
2,0,2,2,1,0,61,7.0,1
3,0,2,2,2,0,168,4.0,2
3,0,1,2,3,0,250,5.0,3
3,0,2,2,2,0,78,9.0,2
3,2,2,3,2,0,198,6.0,2
2,0,1,2,2,0,125,6.0,2
3,2,1,2,2,0,70,6.0,2
3,2,1,2,1,0,290,6.0,1
3,3,1,3,1,0,270,4.0,1
2,0,1,2,1,0,175,2.0,1
2,0,1,2,1,0,31,7.0,1
3,2,2,4,1,0,575,8.0,1
3,1,0,2,1,0,96,3.0,1
3,2,1,2,8,0,166,5.0,8
3,2,1,3,0,0,700,8.0,0
3,2,1,2,4,0,188,9.0,4
3,2,0,2,1,0,175,3.0,1
3,1,2,2,8,0,215,6.0,8
2,1,1,2,2,0,35,4.0,2
3,0,1,4,1,0,800,5.0,1
3,2,2,3,2,0,250,7.0,2
3,2,1,3,1,0,390,6.0,1
2,1,1,2,4,0,35,9.0,4
3,0,2,3,2,0,175,4.0,2
3,2,1,3,1,0,375,9.0,1
3,3,1,3,2,0,250,4.0,2
3,1,1,2,1,0,65,8.0,1
3,2,1,3,1,0,95,7.0,1
3,2,1,3,8,0,220,6.0,8
3,2,1,3,8,0,182,3.0,8
3,0,2,3,4,0,158,3.0,4
3,0,1,2,1,0,50,9.0,1
2,3,2,3,1,0,80,5.0,1
3,0,1,4,4,0,350,9.0,4
2,1,1,2,1,0,42,7.0,1
3,2,2,3,0,0,180,3.0,0
2,2,1,2,4,0,112,3.0,4
2,0,1,2,1,0,38,9.0,1
3,2,1,4,1,0,800,6.0,1
3,0,1,3,0,0,235,5.0,0
3,1,0,2,3,0,95,8.0,3
3,1,0,3,1,0,260,5.0,1
2,2,1,2,1,0,110,4.0,1
3,0,2,3,3,0,390,7.0,3
3,2,0,3,2,0,144,4.0,2
3,0,1,2,4,0,40,8.0,4
3,2,2,4,3,0,750,10.0,3
2,1,1,2,1,0,87,8.0,1
3,4,2,4,1,0,400,9.0,1
3,2,1,3,3,0,350,4.0,3
3,1,1,2,1,0,72,8.0,1
3,1,1,2,0,0,58,6.0,0
2,2,1,2,3,0,125,3.0,3
2,0,2,2,1,0,29,8.0,1
3,1,0,3,8,0,179,3.0,8
3,2,1,2,5,0,185,3.0,5
2,1,1,2,3,0,47,7.0,3
3,2,1,3,1,0,285,5.0,4
3,1,1,3,1,0,160,10.0,1
3,2,1,3,3,0,225,6.0,3
2,0,1,2,4,0,20,10.0,4
3,0,1,3,1,0,300,7.0,1
2,1,1,2,1,0,36,6.0,1
3,2,2,2,1,0,136,3.0,1
2,1,2,2,1,0,23,9.0,1
2,0,1,2,1,0,32,6.0,1
2,1,1,2,3,0,60,5.0,3
3,3,1,2,4,0,220,9.0,4
3,2,1,2,2,0,176,5.0,2
3,2,0,2,6,0,167,5.0,6
2,0,2,2,2,0,38,4.0,2
3,1,1,3,1,0,75,6.0,1
2,0,1,2,3,0,70,5.0,3
2,0,2,2,1,0,150,7.0,1
3,0,1,3,1,0,240,6.0,1
3,1,1,3,1,0,60,7.0,1
3,0,0,2,1,0,68,9.0,1
3,0,1,2,3,0,52,10.0,3
3,1,1,2,9,0,204,6.0,9
3,1,1,3,3,0,300,9.0,3
3,0,1,2,0,0,65,10.0,0
3,0,1,2,2,0,72,7.0,2
3,1,1,3,2,0,360,8.0,2
3,0,0,2,0,0,130,10.0,0
3,1,1,3,2,0,270,9.0,2
3,1,1,2,1,0,38,9.0,1
3,1,1,2,2,0,160,5.0,2
3,0,2,2,1,0,142,3.0,1
3,2,1,2,2,0,45,6.0,2
2,2,1,2,2,0,70,10.0,2
2,1,1,2,1,0,82,6.0,1
2,1,1,2,2,0,37,4.0,2
2,0,1,2,1,0,67,7.0,1
2,0,1,2,2,0,190,6.0,2
3,0,2,2,1,0,45,6.0,1
3,0,1,3,2,0,135,4.0,2
3,0,1,2,1,0,55,2.0,1
3,1,0,2,2,0,105,7.0,2
3,0,1,2,1,0,47,10.0,1
3,0,1,2,3,0,50,9.0,3
3,0,1,3,0,0,225,6.0,0
3,1,1,3,0,0,275,9.0,0
3,2,2,3,2,0,375,8.0,2
3,2,1,3,12,0,195,6.0,12
2,0,1,2,2,0,56,8.0,2
2,0,2,2,0,0,70,10.0,0
3,0,2,3,10,0,540,6.0,10
3,0,2,2,1,0,60,10.0,1
3,0,1,4,20,0,499,4.0,20
3,0,2,3,2,0,375,7.0,2
2,0,1,2,1,0,80,5.0,1
2,1,1,2,2,0,90,9.0,2
3,1,1,2,2,0,60,8.0,2
3,1,1,2,0,0,125,10.0,0
3,1,1,2,2,0,65,9.0,2
3,1,2,3,2,0,250,8.0,2
3,1,1,2,3,0,250,8.0,3
2,1,1,2,3,0,46,7.0,3
2,0,1,2,1,0,39,8.0,1
2,1,2,2,0,0,200,6.0,0
2,1,1,2,1,0,60,6.0,1
3,1,0,3,3,0,409,6.0,3
3,1,1,3,3,0,75,9.0,3
2,1,1,2,7,0,250,6.0,7
3,0,1,3,3,0,125,5.0,3
3,2,1,3,3,0,105,4.0,3
3,2,1,2,0,0,54,8.0,0
2,1,1,2,1,0,120,9.0,1
3,1,1,2,1,0,100,8.0,4
3,0,1,2,1,0,45,3.0,1
2,0,2,2,2,0,36,10.0,2
2,0,2,2,0,0,98,3.0,0
2,0,2,2,4,0,20,10.0,4
3,0,1,3,0,0,80,10.0,0
3,4,1,3,0,0,190,4.0,0
2,0,1,2,1,0,40,1.0,1
3,2,2,3,4,0,229,7.0,4
3,1,1,2,3,0,40,5.0,3
3,0,2,2,2,0,45,9.0,2
2,0,2,2,1,0,92,10.0,1
2,0,2,2,0,0,52,4.0,0
2,0,1,2,1,0,20,8.0,4
2,0,0,2,1,0,160,5.0,1
2,0,2,2,0,0,30,10.0,0
3,0,0,2,1,0,70,7.0,1
2,0,2,2,0,0,90,5.0,0
3,0,1,2,1,0,40,5.0,1
3,0,1,2,7,0,145,6.0,7
2,0,2,2,3,0,18,10.0,3
3,1,1,2,3,0,150,9.0,3
2,0,2,2,2,0,59,3.0,2
3,1,1,3,0,0,190,4.0,0
2,0,1,2,-1,0,110,8.0,-1
2,0,1,2,1,0,34,7.0,1
3,1,1,2,2,0,125,5.0,2
3,1,1,2,0,0,75,9.0,0
2,0,1,2,1,0,54,8.0,1
3,2,2,3,2,0,110,8.0,2
3,2,1,3,0,0,450,5.0,0
3,1,1,2,1,0,121,8.0,1
3,3,1,2,3,0,60,9.0,3
2,1,1,2,2,0,27,7.0,2
2,0,1,2,3,0,48,8.0,3
2,0,2,2,1,0,36,9.0,1
2,0,2,2,4,0,58,3.0,4
2,0,1,2,4,0,25,9.0,4
2,1,1,2,1,0,36,4.0,4
3,2,0,3,15,0,200,2.0,15
3,0,0,2,1,0,48,6.0,4
3,2,1,2,1,0,85,7.0,1
2,0,2,2,1,1,449,5.0,4
3,0,2,3,1,0,325,9.0,4
3,2,1,3,1,0,325,9.0,4
2,1,1,2,1,1,33,4.0,4
2,1,1,2,1,0,30,9.0,1
3,1,1,3,1,0,425,9.0,1
3,2,1,2,2,0,145,3.0,2
3,2,1,2,1,0,80,7.0,1
3,2,1,2,1,0,72,7.0,1
2,1,1,2,1,0,35,6.0,4
3,2,1,4,10,0,550,4.0,10
2,1,1,2,1,0,24,5.0,1
3,2,1,4,14,0,471,6.0,14
3,1,1,3,0,0,600,9.0,0
2,1,1,2,4,0,45,6.0,4
3,2,1,3,1,0,700,10.0,1
2,1,1,2,2,0,32,10.0,2
3,0,2,2,2,0,50,9.0,2
3,1,1,2,1,0,45,9.0,1
3,2,1,2,3,0,85,7.0,3
3,1,1,3,1,0,65,5.0,1
3,2,1,2,1,0,96,7.0,1
2,1,1,2,4,0,55,3.0,4
3,0,1,2,1,0,47,9.0,1
3,2,0,3,3,0,275,2.0,3
3,1,1,2,2,0,62,6.0,2
3,2,1,2,0,0,158,6.0,0
3,2,1,2,5,0,168,6.0,5
3,2,1,3,3,0,180,7.0,3
3,2,1,3,7,0,190,5.0,7
2,1,1,2,1,0,40,7.0,1
3,2,1,2,6,0,180,9.0,6
3,1,1,2,2,0,65,9.0,2
3,2,1,2,1,0,82,7.0,1
3,1,1,2,2,0,63,4.0,2
3,0,1,3,6,0,260,3.0,6
3,3,1,2,1,0,229,6.0,4
2,1,1,2,1,0,50,7.0,1
2,0,2,2,6,0,175,2.0,6
3,2,1,3,0,0,625,5.0,0
2,1,2,2,1,0,25,8.0,1
3,4,1,4,1,0,499,9.0,1
3,1,1,3,2,0,200,6.0,2
3,2,1,3,2,0,165,3.0,2
2,0,1,2,0,0,220,4.0,0
3,1,1,2,1,0,215,1.0,1
3,0,1,2,4,0,85,2.0,4
2,0,2,2,2,0,95,3.0,2
2,0,0,2,11,0,275,5.0,11
3,0,2,3,1,0,62,4.0,1
3,3,1,2,0,0,280,5.0,0
2,2,1,2,2,0,88,6.0,2
3,3,1,2,23,0,200,2.0,23
2,0,2,2,2,0,40,7.0,2
3,2,0,2,1,0,130,4.0,1
3,0,0,4,0,0,425,6.0,0
3,1,1,2,1,0,85,6.0,1
2,1,1,2,10,0,330,9.0,10
2,1,1,2,2,0,155,10.0,2
2,2,1,2,1,0,90,9.0,1
3,2,2,3,0,0,290,5.0,0
3,2,1,2,1,0,168,9.0,1
3,1,0,3,3,0,450,6.0,3
3,3,1,3,1,0,425,7.0,1
3,2,1,2,6,0,180,4.0,6
3,2,2,3,15,0,583,10.0,15
2,1,1,2,1,0,210,6.0,1
3,1,2,2,2,0,82,6.0,2
3,0,2,2,7,0,170,4.0,7
3,0,1,3,1,0,415,8.0,1
2,1,2,2,0,0,150,8.0,0
2,3,2,2,3,0,109,3.0,3
2,2,1,2,17,0,312,2.0,17
3,3,2,3,3,0,418,9.0,3
3,0,1,2,1,0,40,9.0,4
3,3,1,3,1,0,395,9.0,1
3,3,0,2,1,0,154,3.0,1
3,4,1,3,0,0,470,6.0,0
2,1,1,2,3,0,63,7.0,3
3,1,2,2,2,0,60,4.0,2
3,1,1,3,5,0,420,2.0,5
3,2,1,2,0,0,65,10.0,0
3,2,1,3,0,0,220,7.0,0
2,1,0,2,10,0,350,2.0,10
3,3,0,3,3,0,188,7.0,3
3,0,2,2,0,0,200,9.0,0
3,3,1,3,1,0,450,9.0,1
3,0,2,2,1,0,65,9.0,1
3,3,1,3,1,0,275,6.0,1
2,0,1,2,1,0,22,9.0,1
3,2,0,2,2,0,108,7.0,2
2,0,1,2,3,0,125,8.0,3
3,1,1,2,1,0,250,6.0,1
3,2,1,3,23,0,499,4.0,23
3,1,1,3,1,0,170,7.0,1
3,2,1,3,1,0,275,7.0,1
3,0,1,3,1,0,650,10.0,1
2,2,1,2,1,0,71,7.0,1
3,0,2,2,4,0,72,5.0,4
3,1,2,3,12,0,499,2.0,12
3,2,1,2,7,0,177,7.0,7
2,2,1,3,0,0,350,6.0,0
3,0,2,2,2,0,170,3.0,2
3,0,2,3,8,0,179,3.0,8
2,1,1,2,0,0,45,7.0,0
3,0,1,2,2,0,55,6.0,2
3,2,0,2,5,0,185,3.0,5
3,2,1,3,4,0,188,3.0,4
3,1,1,2,11,0,280,9.0,11
2,2,1,2,3,0,100,3.0,3
3,2,1,2,2,0,155,4.0,2
3,2,1,2,1,0,169,4.0,1
3,1,2,3,13,0,530,5.0,13
3,2,1,3,4,0,190,3.0,4
3,1,1,3,2,0,184,3.0,2
3,0,1,3,3,0,240,5.0,3
2,0,2,2,1,0,35,10.0,1
3,2,1,2,2,0,167,4.0,2
2,2,1,2,1,0,94,9.0,1
3,0,0,3,2,0,186,3.0,2
3,2,2,3,0,0,195,6.0,0
2,1,1,2,1,0,24,8.0,1
3,4,1,3,2,0,229,5.0,2
2,1,1,2,1,0,19,9.0,1
3,0,2,2,5,0,160,4.0,5
3,2,0,2,0,0,158,6.0,0
3,2,0,3,2,0,200,6.0,2
2,2,1,2,1,0,138,7.0,1
3,2,1,3,2,0,170,7.0,2
3,2,1,3,9,0,160,6.0,9
3,0,1,2,5,0,145,3.0,5
3,0,2,3,1,0,500,3.0,1
3,1,1,3,4,0,87,10.0,4
3,0,2,2,7,0,175,3.0,7
3,2,2,2,4,0,158,4.0,4
3,2,1,3,1,0,87,7.0,1
2,2,1,2,1,0,113,6.0,1
3,3,2,2,0,0,107,5.0,0
3,1,1,3,3,0,140,3.0,3
2,2,0,2,1,0,34,6.0,1
3,1,0,3,4,0,149,2.0,4
3,0,1,2,2,0,65,8.0,2
3,2,2,3,1,0,350,6.0,1
3,1,1,3,5,0,154,3.0,5
2,2,1,2,2,0,125,9.0,2
3,2,1,2,7,0,178,9.0,7
3,2,1,2,1,0,140,4.0,1
3,1,2,3,20,0,229,6.0,20
3,0,1,2,2,0,75,2.0,2
3,2,1,3,6,0,235,1.0,6
2,2,1,2,9,0,131,5.0,9
3,0,0,3,5,0,184,9.0,5
3,1,1,2,0,0,68,10.0,0
2,1,1,2,4,0,65,7.0,4
3,0,1,2,2,0,170,9.0,2
2,3,1,2,4,0,129,5.0,4
3,0,1,2,1,0,218,10.0,1
3,1,1,2,1,0,65,8.0,1
3,2,1,3,3,0,155,3.0,3
2,1,1,2,1,0,27,7.0,1
3,3,1,3,3,0,420,9.0,3
2,1,1,2,4,0,20,6.0,4
2,1,1,2,3,0,120,8.0,3
3,1,1,3,3,0,125,8.0,3
2,0,1,2,1,0,22,9.0,1
3,1,1,3,2,0,70,10.0,2
3,0,2,2,2,0,175,3.0,2
2,1,1,2,3,0,180,6.0,3
2,0,1,2,1,0,38,4.0,1
3,2,2,4,0,0,1150,10.0,0
3,1,1,3,2,0,75,9.0,2
3,0,2,3,1,0,92,6.0,1
2,1,1,2,3,0,86,7.0,3
3,0,2,2,4,0,71,7.0,4
3,0,1,2,1,0,109,9.0,1
3,0,1,3,2,0,138,6.0,2
3,0,1,4,4,0,350,3.0,4
3,2,1,3,2,0,420,4.0,2
3,2,1,2,2,0,70,6.0,2
3,1,1,3,3,0,104,6.0,3
3,0,2,4,2,0,550,5.0,2
2,0,1,2,0,0,125,9.0,0
2,0,1,2,2,0,20,9.0,2
2,0,2,2,2,0,275,10.0,2
2,1,0,2,2,0,85,7.0,2
2,1,1,2,1,0,190,9.0,1
2,0,2,2,1,0,170,7.0,1
2,1,2,2,1,0,23,9.0,1
2,1,0,2,1,0,34,6.0,1
2,1,1,2,3,0,70,6.0,3
3,0,2,2,1,0,47,8.0,1
2,0,1,2,0,0,55,10.0,0
2,2,1,2,2,0,26,4.0,2
3,1,1,2,1,0,52,9.0,1
3,1,1,2,3,0,45,9.0,3
2,1,1,2,1,0,36,9.0,1
2,0,1,2,1,0,67,5.0,1
3,1,2,2,3,0,32,5.0,3
3,1,0,2,0,0,170,7.0,0
2,1,1,2,1,0,35,9.0,1
3,2,1,2,1,0,135,3.0,1
3,0,1,2,3,0,43,6.0,3
2,0,1,2,2,0,45,7.0,2
3,0,1,3,3,0,190,5.0,3
2,0,1,2,1,0,81,6.0,1
3,2,1,3,0,0,178,7.0,0
3,1,1,2,1,0,42,9.0,1
3,2,2,2,2,0,108,6.0,2
3,0,1,3,1,0,195,7.0,1
3,1,0,2,1,0,40,6.0,1
3,0,2,2,1,0,135,8.0,4
2,0,0,2,1,0,85,7.0,1
3,0,2,3,3,0,425,4.0,3
3,2,2,3,1,0,400,9.0,1
2,0,2,2,1,0,28,6.0,1
3,5,1,2,2,0,58,2.0,2
3,0,1,2,0,0,70,7.0,0
3,0,0,3,1,0,78,9.0,1
2,0,0,2,4,0,27,6.0,4
2,0,0,2,3,0,90,6.0,3
3,1,1,2,3,0,35,9.0,3
2,0,1,2,1,0,35,10.0,1
3,4,1,3,3,0,750,6.0,3
3,0,1,3,1,0,31,10.0,1
2,0,2,2,9,0,36,5.0,9
2,1,1,2,2,0,73,7.0,2
2,0,1,2,3,0,29,5.0,3
2,0,1,2,1,0,114,6.0,1
2,1,2,2,3,0,44,3.0,3
3,0,1,3,1,0,275,5.0,1
2,1,1,2,2,0,95,8.0,2
3,1,0,3,0,0,185,4.0,0
3,0,2,4,3,0,450,7.0,3
3,0,1,2,1,0,100,9.0,1
2,0,2,2,3,0,55,8.0,3
2,0,2,2,0,0,125,6.0,0
3,0,2,4,0,0,225,6.0,0
2,0,0,2,1,0,26,9.0,1
2,1,1,2,2,0,40,9.0,2
3,1,2,3,1,0,130,3.0,1
2,1,1,2,3,0,22,10.0,3
3,1,0,2,1,0,79,5.0,1
3,2,1,2,1,0,75,7.0,1
3,0,1,2,4,0,80,7.0,4
3,0,0,2,1,0,175,4.0,1
2,1,1,2,0,0,40,8.0,0
2,0,1,2,1,0,52,7.0,1
3,1,1,3,0,0,450,10.0,0
3,2,0,2,7,0,192,3.0,7
3,0,1,3,2,0,220,5.0,2
2,0,2,2,3,0,100,4.0,3
2,1,1,2,0,0,65,6.0,0
3,1,2,2,8,0,300,7.0,8
3,3,1,3,0,0,400,6.0,0
2,0,2,2,1,1,469,5.0,4
3,0,0,2,1,0,50,6.0,4
2,1,1,2,1,0,45,4.0,4
2,1,1,2,1,0,29,6.0,4
3,2,1,3,1,0,310,9.0,4
2,2,0,2,15,0,190,2.0,15
3,1,1,2,3,1,100,7.0,3
2,1,1,2,1,0,23,9.0,1
3,1,1,3,1,0,325,9.0,1
3,2,1,2,2,0,160,5.0,2
2,1,1,2,4,0,72,7.0,4
3,2,1,2,1,0,77,7.0,1
3,3,1,3,1,0,385,9.0,1
3,2,1,3,10,0,450,6.0,10
3,0,2,2,2,0,56,2.0,2
2,0,0,2,3,0,425,6.0,3
3,2,1,3,3,0,575,8.0,3
2,1,1,2,1,0,38,9.0,1
3,2,1,3,1,0,100,10.0,1
2,1,0,2,1,0,22,10.0,1
2,1,1,2,1,0,32,5.0,1
3,1,1,2,1,0,51,9.0,1
2,1,1,2,3,0,52,7.0,3
2,1,1,2,1,0,35,7.0,1
3,2,1,2,22,0,220,2.0,22
